Cluster_ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
A-AI-I-M	GO:0009897	external side of plasma membrane	119/1860	402/19520	1.41293410536683e-30	8.70367408905969e-28	6.41025894119058e-28	ABCB1/ABCC4/ACE/ACKR2/ACKR3/ADA/ADAM29/ADAM9/ALCAM/AMOT/ANTXR1/ANXA1/BTNL2/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CD14/CD163/CD200R1/CD24/CD244/CD248/CD27/CD28/CD34/CD36/CD40/CD40LG/CD6/CDH13/CDH5/CLEC12B/CLEC14A/CTLA4/CX3CR1/CXCL10/CXCL12/CXCL9/CXCR2/CXCR3/CXCR4/EBI3/ENG/ENPEP/ENPP3/F2/F3/FASLG/FCER1G/FCGR2B/FCGR3A/FOLR2/HFE/HHLA2/HLA-DRB1/HLA-E/HLA-F/HLA-G/HYAL2/ICOSLG/IL12B/IL13/IL17A/IL1R1/IL1RL1/IL23R/IL2RA/IL31RA/IL5RA/IL6R/IL6ST/IL7R/ITGA2/ITGA2B/ITGA3/ITGA5/ITGAM/ITGAV/ITGB2/ITGB6/LAMP1/LDLR/LEPR/LY75/MAP3K5/MFGE8/MICA/MICB/MR1/NRCAM/NT5E/OSMR/PDCD1/PTPRC/S1PR1/SCNN1B/SCUBE1/SDC1/SELP/SEMA7A/SPN/STAB2/TGFBR2/THBS1/THY1/TLR4/TLR8/TNF/TNFRSF14/TNFRSF4/TRBC2/VCAM1/XCR1	119
A-AI-I-M	GO:0062023	collagen-containing extracellular matrix	119/1860	423/19520	2.45247378489337e-28	7.55361925747157e-26	5.56324316467916e-26	A2M/ACAN/ADAMTS1/ADAMTS5/ADAMTS9/ADIPOQ/AEBP1/AGT/AHSG/AMBP/ANG/ANGPT1/ANGPT2/ANGPT4/ANGPTL3/ANGPTL4/ANGPTL7/ANXA1/ANXA2/APCS/APOA1/APOE/APOH/ATRN/CCN1/CCN2/CCN3/CDH13/CLC/CLEC14A/CMA1/COL15A1/COL18A1/COL4A1/COL4A2/COL4A3/COL6A2/COL8A1/COL8A2/CSPG4/CTSB/CTSF/CTSG/CTSH/CTSL/CXCL12/DCN/DST/ECM1/EGFL7/ELANE/EMILIN1/EMILIN2/ERBIN/F12/F2/F3/FBN1/FGF10/FGF9/FGFR2/FLG/GREM1/HSPG2/HTRA1/IFNA2/ITIH4/KNG1/KRT1/LGALS1/LGALS3/LGALS9/MBL2/MDK/MFGE8/MMRN2/MST1/MXRA5/NDP/ORM1/ORM2/PF4/PKM/POSTN/PRG2/PRG4/PRSS1/PRTN3/PTN/PXDN/RARRES2/S100A7/S100A8/S100A9/SEMA7A/SERPINA3/SERPINB1/SERPINB8/SERPINE1/SERPINF1/SFRP1/SFRP2/SLPI/SMOC2/SPARC/SRPX2/SULF1/TGFB1/TGFB2/TGFBI/TGM2/THBS1/THBS4/TIMP1/TMEFF2/TNC/TNN/TNXB/ZP3	119
A-AI-I-M	GO:0045121	membrane raft	94/1860	323/19520	9.04050340933489e-24	1.39223752503757e-21	1.02538341300614e-21	ACE2/ADAM17/ADCY1/ADCY2/ADCY8/ADTRP/ANGPT1/ANXA2/APP/ATP2B4/BCL10/BTK/CASP8/CAV1/CD14/CD24/CD36/CD55/CDH1/CDH13/CHRNA7/CNR1/DAPK3/DLL1/EGFR/EMP2/F2R/FADD/FASLG/FURIN/FYN/GHSR/GNAI1/GNAI2/GNAI3/GRIP1/HCK/HDAC6/HK1/HMOX1/HYAL2/IKBKB/ITGAM/ITGB2/JAK2/KDR/KRAS/LAT/LTB4R/LYN/NFAM1/NOS3/OLR1/OPRM1/PARK7/PDPN/PECAM1/PGK1/PLPP1/PLPP3/PPP2CA/PRKACA/PRKAR1A/PRKAR2A/PRKAR2B/PRKCZ/PRTN3/PSEN1/PTCH1/PTGIS/PTPRC/RIPK1/S1PR1/SELE/SELPLG/SPRED1/SRC/STIM1/SULF1/TDGF1/TEK/TGFBR1/TGFBR2/THY1/TLR1/TLR2/TLR6/TNF/TNFRSF1A/TNFRSF1B/TRADD/TREM2/UNC5B/ZAP70	94
A-AI-I-M	GO:0098857	membrane microdomain	94/1860	323/19520	9.04050340933489e-24	1.39223752503757e-21	1.02538341300614e-21	ACE2/ADAM17/ADCY1/ADCY2/ADCY8/ADTRP/ANGPT1/ANXA2/APP/ATP2B4/BCL10/BTK/CASP8/CAV1/CD14/CD24/CD36/CD55/CDH1/CDH13/CHRNA7/CNR1/DAPK3/DLL1/EGFR/EMP2/F2R/FADD/FASLG/FURIN/FYN/GHSR/GNAI1/GNAI2/GNAI3/GRIP1/HCK/HDAC6/HK1/HMOX1/HYAL2/IKBKB/ITGAM/ITGB2/JAK2/KDR/KRAS/LAT/LTB4R/LYN/NFAM1/NOS3/OLR1/OPRM1/PARK7/PDPN/PECAM1/PGK1/PLPP1/PLPP3/PPP2CA/PRKACA/PRKAR1A/PRKAR2A/PRKAR2B/PRKCZ/PRTN3/PSEN1/PTCH1/PTGIS/PTPRC/RIPK1/S1PR1/SELE/SELPLG/SPRED1/SRC/STIM1/SULF1/TDGF1/TEK/TGFBR1/TGFBR2/THY1/TLR1/TLR2/TLR6/TNF/TNFRSF1A/TNFRSF1B/TRADD/TREM2/UNC5B/ZAP70	94
A-AI-I-M	GO:0031983	vesicle lumen	89/1860	328/19520	2.58333751584146e-20	3.18267181951667e-18	2.34403888279509e-18	A2M/ADA/ADA2/AHSG/ALOX5/ANXA2/APOA1/APOH/APP/ARG1/ARSB/AZU1/C3/CAMP/CHI3L1/CRACR2A/CTSG/CTSH/CXCL1/CYRIB/DDX3X/ECM1/EGF/EGFR/ELANE/FABP5/FAM3C/FASLG/FGR/GCG/GHRL/GIP/GPI/GRN/GSDMD/GSTP1/HGF/HP/HSP90AA1/HSPA8/INS/ITIH4/JUP/KNG1/LRG1/LTF/LYZ/MAPK14/MIF/NFKB1/NME2/ORM1/ORM2/PDGFA/PF4/PGLYRP1/PKM/POMC/PPBP/PPIA/PRKCD/PRTN3/PTX3/PYCARD/RARRES2/RETN/RNASET2/ROCK1/S100A12/S100A7/S100A8/S100A9/SCG3/SERPINA3/SERPINB1/SERPINE1/SLPI/SPARC/TGFB1/TGFB2/THBS1/TIMP1/TMSB4X/TOLLIP/VCP/VEGFA/VEGFB/VEGFC/VEGFD	89
A-AI-I-M	GO:0030139	endocytic vesicle	85/1860	307/19520	4.56695336202424e-20	4.68873878501155e-18	3.45325771760078e-18	ADAM8/AMOT/ANXA3/APOA1/APOE/APPL1/APPL2/ARRB2/AVPR2/CAV1/CD163/CD36/CD9/CDC42/CLTC/CTLA4/CYBA/CYBB/DLG4/DMBT1/DVL2/EGFR/ELANE/EPN2/FFAR4/FZD4/FZD5/HBB/HLA-A/HLA-B/HLA-C/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/HLA-DRB4/HLA-DRB5/HLA-E/HLA-F/HLA-G/HP/HSP90AA1/HYAL2/IRGM/ITGAV/ITGB5/LAMP1/LDLR/LPAR1/LRP1/LTF/MTOR/MTSS1/NCF1/NCF2/NCF4/NOD1/NOD2/NOS3/PGLYRP1/PLEKHG5/PTCH1/RAB13/RAPGEF2/SAA1/SCIMP/SFTPD/SPARC/SPHK1/STAB1/STAB2/SYK/TCIRG1/TIRAP/TLR1/TLR2/TLR6/TLR7/TLR9/WNT7A/WNT7B/ZYX	85
A-AI-I-M	GO:0060205	cytoplasmic vesicle lumen	88/1860	326/19520	6.13021947277189e-20	5.39459313603926e-18	3.97311968836795e-18	A2M/ADA/ADA2/AHSG/ALOX5/ANXA2/APOA1/APOH/APP/ARG1/ARSB/AZU1/C3/CAMP/CHI3L1/CRACR2A/CTSG/CTSH/CXCL1/CYRIB/DDX3X/ECM1/EGF/ELANE/FABP5/FAM3C/FASLG/FGR/GCG/GHRL/GIP/GPI/GRN/GSDMD/GSTP1/HGF/HP/HSP90AA1/HSPA8/INS/ITIH4/JUP/KNG1/LRG1/LTF/LYZ/MAPK14/MIF/NFKB1/NME2/ORM1/ORM2/PDGFA/PF4/PGLYRP1/PKM/POMC/PPBP/PPIA/PRKCD/PRTN3/PTX3/PYCARD/RARRES2/RETN/RNASET2/ROCK1/S100A12/S100A7/S100A8/S100A9/SCG3/SERPINA3/SERPINB1/SERPINE1/SLPI/SPARC/TGFB1/TGFB2/THBS1/TIMP1/TMSB4X/TOLLIP/VCP/VEGFA/VEGFB/VEGFC/VEGFD	88
A-AI-I-M	GO:0034774	secretory granule lumen	86/1860	322/19520	3.41477363585733e-19	2.62937569961014e-17	1.93653610138751e-17	A2M/ADA2/AHSG/ALOX5/ANXA2/APOA1/APOH/APP/ARG1/ARSB/AZU1/C3/CAMP/CHI3L1/CRACR2A/CTSG/CTSH/CXCL1/CYRIB/DDX3X/ECM1/EGF/ELANE/FABP5/FAM3C/FGR/GCG/GHRL/GIP/GPI/GRN/GSDMD/GSTP1/HGF/HP/HSP90AA1/HSPA8/INS/ITIH4/JUP/KNG1/LRG1/LTF/LYZ/MAPK14/MIF/NFKB1/NME2/ORM1/ORM2/PDGFA/PF4/PGLYRP1/PKM/POMC/PPBP/PPIA/PRKCD/PRTN3/PTX3/PYCARD/RARRES2/RETN/RNASET2/ROCK1/S100A12/S100A7/S100A8/S100A9/SCG3/SERPINA3/SERPINB1/SERPINE1/SLPI/SPARC/TGFB1/TGFB2/THBS1/TIMP1/TMSB4X/TOLLIP/VCP/VEGFA/VEGFB/VEGFC/VEGFD	86
A-AI-I-M	GO:0005925	focal adhesion	101/1860	416/19520	4.49132055518368e-19	3.07405940221461e-17	2.26404580033236e-17	ACTG1/ADAM10/ADAM17/ADAM9/ADGRB1/ADGRE5/AIF1L/ALCAM/ALOX15B/ANXA1/ARHGAP22/ARHGAP24/ARPC1B/ARPC2/AVIL/CAPN5/CAV1/CD44/CD81/CD9/CDC42/CDH13/CLTC/CSPG4/CTTN/DST/EFNB2/EGFR/ENG/FAP/FLNA/FLNC/GIT1/GNA13/GNB2/HACD3/HCK/HSPA1A/HSPA1B/HSPA8/HSPB1/HSPG2/IL16/IL1RL1/ILK/ITGA2/ITGA2B/ITGA3/ITGA4/ITGA5/ITGAV/ITGB2/ITGB3/ITGB5/ITGB6/ITGB8/JAK1/JAK2/JUP/KRAS/LRP1/MMP14/NCSTN/NOX4/NPM1/NRP1/OPRM1/PAK1/PAK4/PARVA/PDGFRB/PDPK1/PI4KA/PPFIBP1/PPIA/PRKAR2A/PRUNE1/PTK7/PTPRC/PXN/RAC1/RHOB/RPL13A/RPLP2/RPS19/RRAS/S100A7/SENP1/SORBS2/SRC/TEK/TGM2/THY1/TNC/TPM4/TRPV4/YES1/YWHAQ/YWHAZ/ZFYVE21/ZYX	101
A-AI-I-M	GO:0030055	cell-substrate junction	102/1860	423/19520	5.0368975722424e-19	3.10272890450132e-17	2.28516089856471e-17	ACTG1/ADAM10/ADAM17/ADAM9/ADGRB1/ADGRE5/AIF1L/ALCAM/ALOX15B/ANXA1/ARHGAP22/ARHGAP24/ARPC1B/ARPC2/AVIL/CAPN5/CAV1/CD44/CD81/CD9/CDC42/CDH13/CLTC/CSPG4/CTTN/DST/EFNB2/EGFR/ENG/ERBIN/FAP/FLNA/FLNC/GIT1/GNA13/GNB2/HACD3/HCK/HSPA1A/HSPA1B/HSPA8/HSPB1/HSPG2/IL16/IL1RL1/ILK/ITGA2/ITGA2B/ITGA3/ITGA4/ITGA5/ITGAV/ITGB2/ITGB3/ITGB5/ITGB6/ITGB8/JAK1/JAK2/JUP/KRAS/LRP1/MMP14/NCSTN/NOX4/NPM1/NRP1/OPRM1/PAK1/PAK4/PARVA/PDGFRB/PDPK1/PI4KA/PPFIBP1/PPIA/PRKAR2A/PRUNE1/PTK7/PTPRC/PXN/RAC1/RHOB/RPL13A/RPLP2/RPS19/RRAS/S100A7/SENP1/SORBS2/SRC/TEK/TGM2/THY1/TNC/TPM4/TRPV4/YES1/YWHAQ/YWHAZ/ZFYVE21/ZYX	102
