Cluster_ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
A-AI-I-M	hsa04062	Chemokine signaling pathway	125/1249	192/8157	1.26363695264865e-56	4.08154735705515e-54	1.79569461692177e-54	ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/AKT3/ARRB2/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CDC42/CHUK/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/FGR/GNAI1/GNAI2/GNAI3/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GSK3B/HCK/IKBKB/IKBKG/JAK2/JAK3/KRAS/LYN/NCF1/NFKB1/NFKBIA/NFKBIB/PAK1/PF4/PF4V1/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIK3R3/PIK3R6/PLCB1/PLCG1/PLCG2/PPBP/PRKACA/PRKACB/PRKACG/PRKCB/PRKCD/PRKCZ/PXN/RAC1/ROCK1/ROCK2/SHC1/SRC/STAT1/STAT3/STAT5B/TIAM1/VAV2/VAV3/XCL1/XCL2/XCR1	125
A-AI-I-M	hsa04060	Cytokine-cytokine receptor interaction	153/1249	295/8157	9.93512395707389e-51	1.60452251906743e-48	7.05916702213145e-49	ACKR3/ACVR1/ACVRL1/BMP2/BMP4/BMP6/BMPR1B/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CD27/CD40/CD40LG/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL17/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/EBI3/EPO/FASLG/GDF2/GDF5/IFNA2/IFNG/IFNGR1/IL10/IL10RA/IL10RB/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17F/IL17RA/IL17RB/IL17RC/IL17RE/IL18/IL18R1/IL18RAP/IL19/IL1A/IL1B/IL1F10/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RL2/IL1RN/IL2/IL20/IL20RB/IL21/IL22/IL22RA1/IL23A/IL23R/IL25/IL26/IL27/IL2RA/IL31RA/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL4R/IL5/IL5RA/IL6/IL6R/IL6ST/IL7R/LEP/LEPR/LTA/NGFR/NODAL/OSM/OSMR/PF4/PF4V1/PPBP/PRL/TGFB1/TGFB2/TGFBR1/TGFBR2/TNF/TNFRSF12A/TNFRSF14/TNFRSF1A/TNFRSF1B/TNFRSF4/TNFSF12/TNFSF15/TNFSF18/TNFSF4/TSLP/XCL1/XCL2/XCR1	153
A-AI-I-M	hsa04061	Viral protein interaction with cytokine and cytokine receptor	79/1249	100/8157	3.87692510280786e-46	4.17415602735646e-44	1.8364382065932e-44	ACKR3/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/IL10/IL10RA/IL10RB/IL18/IL18R1/IL18RAP/IL19/IL2/IL20/IL20RB/IL22RA1/IL2RA/IL34/IL37/IL6/IL6R/IL6ST/LTA/PF4/PF4V1/PPBP/TNF/TNFRSF14/TNFRSF1A/TNFRSF1B/XCL1/XCL2/XCR1	79
A-AI-I-M	hsa05417	Lipid and atherosclerosis	111/1249	215/8157	1.66495353850903e-36	1.18624411001257e-34	5.21893286138821e-35	AGER/AKT3/APOA1/BCL2/BCL2L1/CASP1/CASP6/CASP7/CASP8/CCL2/CCL3/CCL3L1/CCL5/CD14/CD36/CD40/CD40LG/CDC42/CHUK/CXCL1/CXCL2/CXCL3/CXCL8/CYBA/CYBB/DDIT3/EIF2AK3/FASLG/FOS/GSK3B/HSP90AA1/HSPA1A/HSPA1B/HSPA8/IFNA2/IKBKB/IKBKE/IKBKG/IL12A/IL12B/IL18/IL1B/IL6/IRAK1/IRF3/IRF7/JAK2/JUN/KRAS/LBP/LDLR/LY96/LYN/MAP2K3/MAP2K4/MAP2K6/MAP2K7/MAP3K5/MAP3K7/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/MYD88/NCF1/NCF2/NCF4/NFATC3/NFE2L2/NFKB1/NFKBIA/NLRP3/NOS3/NOX1/OLR1/PDPK1/PIK3CA/PIK3CB/PIK3CD/PIK3R3/PLCB1/PLCG1/PPARG/PRKCA/PYCARD/RAC1/ROCK2/RXRA/SELE/SELP/SOD2/SRC/STAT3/TBK1/TICAM1/TICAM2/TIRAP/TLR2/TLR4/TLR6/TNF/TNFRSF1A/TP53/TRAF3/VAV2/VAV3/VCAM1/XBP1	111
A-AI-I-M	hsa05163	Human cytomegalovirus infection	114/1249	225/8157	1.83629119196992e-36	1.18624411001257e-34	5.21893286138821e-35	ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/AKAP13/AKT3/ATF2/CASP8/CCL2/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCR1/CCR3/CCR5/CGAS/CHUK/CREB3/CREB3L1/CREB3L3/CX3CL1/CXCL12/CXCL8/CXCR2/CXCR4/E2F2/EGFR/FADD/FASLG/GNA13/GNAI1/GNAI2/GNAI3/GNAS/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GSK3B/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/IFNA2/IKBKB/IKBKG/IL10RA/IL10RB/IL1B/IL1R1/IL6/IL6R/IRF3/ITGAV/ITGB3/JAK1/KRAS/MAP2K6/MAPK11/MAPK12/MAPK13/MAPK14/MTOR/MYC/NFATC3/NFATC4/NFKB1/NFKBIA/PIK3CA/PIK3CB/PIK3CD/PIK3R3/PLCB1/PRKACA/PRKACB/PRKACG/PRKCA/PRKCB/PRKCG/PTGER3/PTGER4/PTGS2/PXN/RAC1/RB1/RIPK1/ROCK1/ROCK2/SRC/STAT3/STING1/TBK1/TNF/TNFRSF1A/TP53/TRADD/VEGFA	114
A-AI-I-M	hsa04620	Toll-like receptor signaling pathway	71/1249	104/8157	2.03022622827486e-34	1.09293845288797e-32	4.808430540651e-33	AKT3/CASP8/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CD14/CD40/CHUK/CXCL10/CXCL11/CXCL8/CXCL9/FADD/FOS/IFNA2/IKBKB/IKBKE/IKBKG/IL12A/IL12B/IL1B/IL6/IRAK1/IRF3/IRF5/IRF7/JUN/LBP/LY96/MAP2K3/MAP2K4/MAP2K6/MAP2K7/MAP3K7/MAP3K8/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/MYD88/NFKB1/NFKBIA/PIK3CA/PIK3CB/PIK3CD/PIK3R3/RAC1/RIPK1/SPP1/STAT1/TBK1/TICAM1/TICAM2/TIRAP/TLR1/TLR2/TLR3/TLR4/TLR5/TLR6/TLR7/TLR8/TLR9/TNF/TOLLIP/TRAF3	71
A-AI-I-M	hsa05167	Kaposi sarcoma-associated herpesvirus infection	100/1249	194/8157	7.40185269989421e-33	3.4154263172369e-31	1.50263175110634e-31	AKT3/ANGPT2/C3/CASP8/CCR1/CCR3/CCR4/CCR5/CCR8/CD200R1/CHUK/CXCL1/CXCL2/CXCL3/CXCL8/E2F2/EIF2AK2/FADD/FGF2/FOS/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GSK3B/HCK/HLA-A/HLA-B/HLA-C/HLA-E/HLA-F/HLA-G/IFNA2/IFNGR1/IKBKB/IKBKE/IKBKG/IL6/IL6ST/IRF3/IRF7/JAK1/JAK2/JUN/KRAS/LEF1/LYN/MAP2K4/MAP2K6/MAP2K7/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/MAPKAPK2/MICA/MICB/MTOR/MYC/NFATC3/NFATC4/NFKB1/NFKBIA/PIK3CA/PIK3CB/PIK3CD/PIK3CG/PIK3R3/PIK3R6/PLCG1/PLCG2/PTGS2/RAC1/RB1/SRC/STAT1/STAT3/SYK/TBK1/TCF7/TCF7L2/TICAM1/TLR3/TNFRSF1A/TP53/TRADD/TRAF3/VEGFA/ZFP36	100
A-AI-I-M	hsa04926	Relaxin signaling pathway	76/1249	129/8157	2.66083446924418e-30	1.03246210104389e-28	4.54236218481098e-29	ACTA2/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/AKT3/ARRB2/ATF2/COL4A1/COL4A2/COL4A3/CREB3/CREB3L1/CREB3L3/EGFR/FOS/GNAI1/GNAI2/GNAI3/GNAS/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/INSL3/JUN/KRAS/MAP2K4/MAP2K7/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/NFKB1/NFKBIA/NOS2/NOS3/PIK3CA/PIK3CB/PIK3CD/PIK3R3/PLCB1/PRKACA/PRKACB/PRKACG/PRKCA/PRKCZ/RLN2/RLN3/RXFP1/RXFP2/SHC1/SRC/TGFB1/TGFBR1/TGFBR2/VEGFA/VEGFB/VEGFC/VEGFD	76
A-AI-I-M	hsa04668	TNF signaling pathway	70/1249	112/8157	2.87682938371362e-30	1.03246210104389e-28	4.54236218481098e-29	AKT3/ATF2/CASP10/CASP7/CASP8/CCL2/CCL20/CCL5/CEBPB/CHUK/CREB3/CREB3L1/CREB3L3/CX3CL1/CXCL1/CXCL10/CXCL2/CXCL3/CXCL5/CXCL6/FADD/FOS/IKBKB/IKBKG/IL15/IL18R1/IL1B/IL6/ITCH/JAG1/JUN/LTA/MAP2K3/MAP2K4/MAP2K6/MAP2K7/MAP3K5/MAP3K7/MAP3K8/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/MMP14/NFKB1/NFKBIA/NOD2/PIK3CA/PIK3CB/PIK3CD/PIK3R3/PTGS2/RIPK1/RIPK3/RPS6KA4/RPS6KA5/SELE/SOCS3/TNF/TNFAIP3/TNFRSF1A/TNFRSF1B/TRADD/TRAF3/VCAM1/VEGFC/VEGFD	70
A-AI-I-M	hsa04659	Th17 cell differentiation	68/1249	108/8157	1.0221986715943e-29	3.30170170924958e-28	1.45259811226558e-28	AHR/CHUK/EBI3/FOS/FOXP3/GATA3/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DRB1/HLA-DRB4/HLA-DRB5/HSP90AA1/IFNG/IFNGR1/IKBKB/IKBKG/IL17A/IL17F/IL1B/IL1R1/IL1RAP/IL2/IL21/IL22/IL23A/IL23R/IL27/IL2RA/IL4/IL4R/IL6/IL6R/IL6ST/JAK1/JAK2/JAK3/JUN/LAT/MAPK10/MAPK11/MAPK12/MAPK13/MAPK14/MAPK8/MAPK9/MTOR/NFATC3/NFKB1/NFKBIA/NFKBIB/PLCG1/PRKCQ/RARA/RORA/RUNX1/RXRA/SMAD3/STAT1/STAT3/STAT5B/TBX21/TGFB1/TGFBR1/TGFBR2/ZAP70	68
