Cluster_ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
A-AI-I-M	GO:0030546	signaling receptor activator activity	204/1844	492/18337	3.7260625684102e-77	3.9086396342623e-74	2.69845373375391e-74	ADA2/ADCYAP1/ADIPOQ/ADM/ADM2/AGT/AIMP1/ANGPT4/ANGPTL3/APELA/APOA1/APP/AVP/BMP2/BMP4/BMP6/C1QTNF12/C1QTNF4/C5/CALCA/CALCB/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCN2/CCN3/CCN6/CD40LG/CDK5/CGA/CKLF/COPA/CRH/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/DEFB4A/EBI3/EDN2/EGF/EPGN/EPO/EREG/F2/FAM3C/FASLG/FBN1/FGF1/FGF10/FGF18/FGF2/FGF6/FGF9/FSHB/GAL/GCG/GDF2/GDF5/GHRH/GHRL/GIP/GPHA2/GPHB5/GPI/GPNMB/GREM1/GRN/HAMP/HGF/HMGB2/IAPP/IFNA2/IFNG/IL10/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17F/IL18/IL19/IL1A/IL1B/IL1F10/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL25/IL26/IL27/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL5/IL6/INS/INSL3/JAG1/KL/LEP/LGALS3/LHB/LTA/MACC1/MDK/MIA/MIF/NAMPT/NDP/NODAL/NPPB/NPY/OSM/PDGFA/PDGFC/PDGFD/PF4/PF4V1/PNOC/POMC/PPBP/PRL/PTH/PTHLH/PTN/RETN/RLN2/RLN3/SCG2/SCT/SEMA3E/SEMA4A/SEMA5A/SEMA6A/SEMA7A/SFRP2/SPP1/TDGF1/TGFA/TGFB1/TGFB2/THBS4/TIMP1/TNF/TNFSF12/TNFSF15/TNFSF18/TNFSF4/TSHB/TSLP/TYMP/UCN/VEGFA/VEGFB/VEGFC/VEGFD/VIP/WNT7A/WNT7B/XCL1/XCL2/ZP3	204
A-AI-I-M	GO:0048018	receptor ligand activity	201/1844	486/18337	9.19761668262862e-76	4.82414995003871e-73	3.33050540928868e-73	ADA2/ADCYAP1/ADIPOQ/ADM/ADM2/AGT/AIMP1/ANGPTL3/APELA/APOA1/AVP/BMP2/BMP4/BMP6/C1QTNF12/C1QTNF4/C5/CALCA/CALCB/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCN2/CCN3/CCN6/CD40LG/CGA/CKLF/COPA/CRH/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/DEFB4A/EBI3/EDN2/EGF/EPGN/EPO/EREG/F2/FAM3C/FASLG/FBN1/FGF1/FGF10/FGF18/FGF2/FGF6/FGF9/FSHB/GAL/GCG/GDF2/GDF5/GHRH/GHRL/GIP/GPHA2/GPHB5/GPI/GPNMB/GREM1/GRN/HAMP/HGF/HMGB2/IAPP/IFNA2/IFNG/IL10/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17F/IL18/IL19/IL1A/IL1B/IL1F10/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL25/IL26/IL27/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL5/IL6/INS/INSL3/JAG1/KL/LEP/LGALS3/LHB/LTA/MACC1/MDK/MIA/MIF/NAMPT/NDP/NODAL/NPPB/NPY/OSM/PDGFA/PDGFC/PDGFD/PF4/PF4V1/PNOC/POMC/PPBP/PRL/PTH/PTHLH/PTN/RETN/RLN2/RLN3/SCG2/SCT/SEMA3E/SEMA4A/SEMA5A/SEMA6A/SEMA7A/SFRP2/SPP1/TDGF1/TGFA/TGFB1/TGFB2/THBS4/TIMP1/TNF/TNFSF12/TNFSF15/TNFSF18/TNFSF4/TSHB/TSLP/TYMP/UCN/VEGFA/VEGFB/VEGFC/VEGFD/VIP/WNT7A/WNT7B/XCL1/XCL2/ZP3	201
A-AI-I-M	GO:0005126	cytokine receptor binding	141/1844	270/18337	3.60836646762639e-69	1.26172547484669e-66	8.71072326219984e-67	ADAM17/BAMBI/C5/CASP8/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR2/CCRL2/CD40LG/CDH5/CKLF/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/DDT/DEFB4A/ECM1/ENG/EPO/ERAP1/FADD/FASLG/GATA3/GREM1/IFNA2/IFNG/IL10/IL12A/IL12B/IL13/IL15/IL17F/IL18/IL1A/IL1B/IL1F10/IL1RAP/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL23R/IL25/IL27/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL5/IL6/IL6R/IL6ST/ITCH/ITGA5/ITGB3/JAK1/JAK2/LRG1/LTA/MIF/MYD88/NTRK1/OSM/OSMR/PDCL3/PF4/PF4V1/PLCG1/PPBP/PRL/PXDN/PYCARD/RIPK1/RNF41/SHC1/SMAD3/SMAD6/SOCS2/SPRED1/STAT1/SYK/TGFB1/TGFB2/TGFBR1/TGFBR2/TLR5/TLR9/TNF/TNFSF12/TNFSF15/TNFSF18/TNFSF4/TOLLIP/TRADD/TRAF3/TSLP/VEGFA/VEGFB/VEGFC/VEGFD/XCL1/XCL2	141
A-AI-I-M	GO:0005125	cytokine activity	116/1844	235/18337	1.47091772003649e-53	3.85748172079569e-51	2.66313524048712e-51	ADIPOQ/AIMP1/BMP2/BMP4/BMP6/C1QTNF4/C5/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CD40LG/CKLF/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/EBI3/EPO/FAM3C/FASLG/FGF2/GDF2/GDF5/GPI/GREM1/GRN/IFNA2/IFNG/IL10/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17F/IL18/IL19/IL1A/IL1B/IL1F10/IL1RN/IL2/IL20/IL21/IL22/IL23A/IL25/IL26/IL27/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL5/IL6/LTA/MIF/NAMPT/NDP/NODAL/OSM/PF4/PF4V1/PPBP/SCG2/SPP1/TGFB1/TGFB2/TIMP1/TNF/TNFSF12/TNFSF15/TNFSF18/TNFSF4/TSLP/VEGFA/WNT7A/WNT7B/XCL1/XCL2	116
A-AI-I-M	GO:0001664	G protein-coupled receptor binding	118/1844	289/18337	9.69280834293199e-44	2.03355119034713e-41	1.40392676630257e-41	ACE/ADA2/ADCYAP1/ADM/ADORA1/ADORA2A/ADRA2A/ADRB1/AGT/AGTR1/APELA/ARRB2/AVP/BAMBI/BDKRB2/C1QBP/C3/C5/CALCA/CALCB/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR2/CCRL2/CKLF/CRH/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/DEFB4A/DLG4/DVL2/EDN2/FEM1A/FLNA/FPR1/FYN/GAL/GCG/GHRH/GHRL/GIP/GNA13/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GPHA2/GPHB5/HSPA1A/HSPA1B/HSPA8/IL2/INSL3/ITCH/JAK1/JAK2/KISS1/NDP/NPY/PF4/PF4V1/PNOC/POMC/PPBP/PROK2/PTCH1/PTCH2/PTH/RAPGEF2/RLN3/RSPO3/S1PR1/SAA1/SCT/SFRP1/TAC1/TAC4/UCN/VPS35/WNT7A/WNT7B/XCL1/XCL2	118
A-AI-I-M	GO:0008009	chemokine activity	45/1844	49/18337	1.11743648230851e-40	1.95365144990271e-38	1.34876543829518e-38	C5/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CKLF/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/PF4/PF4V1/PPBP/XCL1/XCL2	45
A-AI-I-M	GO:0042379	chemokine receptor binding	50/1844	69/18337	4.89956609547916e-35	7.34234976308234e-33	5.06902477246565e-33	C5/CCL1/CCL11/CCL13/CCL14/CCL15/CCL16/CCL17/CCL18/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL24/CCL25/CCL26/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCL8/CCR2/CCRL2/CKLF/CX3CL1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL14/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/DEFB4A/ITCH/JAK1/PF4/PF4V1/PPBP/XCL1/XCL2	50
A-AI-I-M	GO:0070851	growth factor receptor binding	72/1844	141/18337	7.35082040361815e-35	9.6387632542443e-33	6.65442689169643e-33	ADAM17/AGR2/APP/CDH5/ECM1/EGF/EPGN/ERAP1/EREG/ESM1/FER/FGF1/FGF10/FGF18/FGF2/FGF6/FGF9/FYN/GATA3/GREM1/IL10/IL12A/IL12B/IL1A/IL1B/IL1F10/IL1R1/IL1RAP/IL1RN/IL2/IL21/IL23R/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL5/IL6/IL6R/IL6ST/ITGA5/ITGB3/JAK2/KL/LYN/MYD88/NCSTN/PDCL3/PDGFA/PDGFC/PDGFD/PDGFRB/PSEN1/PTEN/PYCARD/RNF41/SHC1/SOCS5/SRC/TGFA/TLR5/TLR9/TOLLIP/TSLP/VAV2/VAV3/VEGFA/VEGFB/VEGFC/VEGFD	72
A-AI-I-M	GO:0019955	cytokine binding	69/1844	136/18337	3.15829038841149e-33	3.31304661744366e-31	2.28726714444959e-31	A2M/ACKR1/ACKR2/ACKR3/ACVR1/ACVRL1/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CD36/CX3CR1/CXCR2/CXCR3/CXCR4/EBI3/ELANE/ENG/FGF2/FZD4/GDF5/GREM1/HYAL2/IFNGR1/IL10RA/IL12A/IL12B/IL17F/IL18R1/IL1R1/IL1R2/IL1RL1/IL1RN/IL20RB/IL22RA1/IL22RA2/IL23R/IL2RA/IL31RA/IL36RN/IL5RA/IL6R/IL6ST/ITGA4/ITGAV/ITGB3/LEPR/NLRP7/NRP1/NRP2/NRROS/OSMR/PARK7/PDPN/PXDN/TGFBR1/TGFBR2/THBS1/TNFRSF14/TNFRSF1A/TNFRSF1B/TSKU/XCR1/ZFP36	69
A-AI-I-M	GO:0140375	immune receptor activity	69/1844	136/18337	3.15829038841149e-33	3.31304661744366e-31	2.28726714444959e-31	ACKR2/ACKR3/C3AR1/C5AR1/C5AR2/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CD160/CD200R1/CD44/CMKLR1/CR2/CTSH/CX3CR1/CXCR2/CXCR3/CXCR4/EBI3/F3/FCER1G/FCGR2B/FPR1/FPR2/FZD4/HLA-DPA1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRB1/IFNGR1/IL10RA/IL10RB/IL12B/IL17RA/IL17RB/IL17RC/IL17RE/IL18R1/IL18RAP/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RL2/IL20RB/IL22RA1/IL22RA2/IL23R/IL2RA/IL31RA/IL4R/IL5RA/IL6R/IL6ST/IL7R/KIR2DL4/KIR2DS5/LEPR/MR1/OSMR/XCR1	69
