Cluster_ID	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
A-AI-I-M	R-HSA-9658195	Leishmania infection	163/1478	254/10856	7.16332635573242e-80	1.01361067933614e-76	6.92957570622958e-77	ABL1/ACTG1/ADAM17/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCYAP1/ADCYAP1R1/ADM/ADM2/ADORA2A/ADORA2B/ADRB1/ADRB2/ADRB3/APP/ARPC1B/ARPC2/AVP/AVPR2/BTK/C3/C3AR1/CALCA/CALCB/CALCR/CALCRL/CASP1/CD163/CDC42/CGA/CRH/CRHR1/CRHR2/CTSG/CYBA/CYSLTR1/CYSLTR2/DPEP2/DRD1/DRD5/DVL2/FCGR3A/FGR/FSHB/FSHR/FURIN/FYN/GCG/GGT1/GGT5/GHRH/GHRHR/GIP/GIPR/GLP1R/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPHA2/GPHB5/GPR20/GPR25/GPR39/GPR83/GSDMD/HCK/HMOX1/HTR4/HTR6/HTR7/IAPP/IL10/IL18/IL1A/IL1B/IL6/INSL3/JUN/LHB/LHCGR/LYN/MAPK14/MAPK8/MC1R/MC2R/MC3R/MC4R/MC5R/MEFV/NCKAP1L/NCKIPSD/NFKB1/NFKB2/NLRP3/NOX1/NPSR1/NT5E/P2RX7/PLCG1/PLCG2/PLK2/POMC/PRKACA/PRKACB/PRKACG/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRKX/PSTPIP1/PTGER4/PTGIR/PTH/PTH1R/PTH2R/PTHLH/PYCARD/RAC1/RAMP1/RAMP2/RAMP3/RHBDF2/RLN2/RLN3/RXFP1/RXFP2/SCT/SCTR/SRC/SYK/TSHB/TSHR/TXN/VAV2/VAV3/VIP/VIPR1/VIPR2/WASF2/YES1	163
A-AI-I-M	R-HSA-9662851	Anti-inflammatory response favouring Leishmania parasite infection	127/1478	169/10856	3.04584766305935e-75	1.43662481440966e-72	9.82152281526856e-73	ADAM17/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCYAP1/ADCYAP1R1/ADM/ADM2/ADORA2A/ADORA2B/ADRB1/ADRB2/ADRB3/AVP/AVPR2/CALCA/CALCB/CALCR/CALCRL/CD163/CGA/CRH/CRHR1/CRHR2/CYSLTR1/CYSLTR2/DPEP2/DRD1/DRD5/FCGR3A/FGR/FSHB/FSHR/FURIN/FYN/GCG/GGT1/GGT5/GHRH/GHRHR/GIP/GIPR/GLP1R/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPHA2/GPHB5/GPR20/GPR25/GPR39/GPR83/HCK/HTR4/HTR6/HTR7/IAPP/IL10/IL6/INSL3/LHB/LHCGR/LYN/MAPK14/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/PLCG1/PLCG2/PLK2/POMC/PRKACA/PRKACB/PRKACG/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRKX/PTGER4/PTGIR/PTH/PTH1R/PTH2R/PTHLH/RAMP1/RAMP2/RAMP3/RHBDF2/RLN2/RLN3/RXFP1/RXFP2/SCT/SCTR/SRC/SYK/TSHB/TSHR/VIP/VIPR1/VIPR2/YES1	127
A-AI-I-M	R-HSA-9664433	Leishmania parasite growth and survival	127/1478	169/10856	3.04584766305935e-75	1.43662481440966e-72	9.82152281526856e-73	ADAM17/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCYAP1/ADCYAP1R1/ADM/ADM2/ADORA2A/ADORA2B/ADRB1/ADRB2/ADRB3/AVP/AVPR2/CALCA/CALCB/CALCR/CALCRL/CD163/CGA/CRH/CRHR1/CRHR2/CYSLTR1/CYSLTR2/DPEP2/DRD1/DRD5/FCGR3A/FGR/FSHB/FSHR/FURIN/FYN/GCG/GGT1/GGT5/GHRH/GHRHR/GIP/GIPR/GLP1R/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPHA2/GPHB5/GPR20/GPR25/GPR39/GPR83/HCK/HTR4/HTR6/HTR7/IAPP/IL10/IL6/INSL3/LHB/LHCGR/LYN/MAPK14/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/PLCG1/PLCG2/PLK2/POMC/PRKACA/PRKACB/PRKACG/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRKX/PTGER4/PTGIR/PTH/PTH1R/PTH2R/PTHLH/RAMP1/RAMP2/RAMP3/RHBDF2/RLN2/RLN3/RXFP1/RXFP2/SCT/SCTR/SRC/SYK/TSHB/TSHR/VIP/VIPR1/VIPR2/YES1	127
A-AI-I-M	R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	106/1478	134/10856	7.28974102385976e-67	2.57874588719039e-64	1.76296631603345e-64	ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCYAP1/ADCYAP1R1/ADM/ADM2/ADORA2A/ADORA2B/ADRB1/ADRB2/ADRB3/AVP/AVPR2/CALCA/CALCB/CALCR/CALCRL/CGA/CRH/CRHR1/CRHR2/CYSLTR2/DRD1/DRD5/FSHB/FSHR/GCG/GHRH/GHRHR/GIP/GIPR/GLP1R/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPHA2/GPHB5/GPR20/GPR25/GPR39/GPR83/HTR4/HTR6/HTR7/IAPP/IL6/INSL3/LHB/LHCGR/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/POMC/PRKACA/PRKACB/PRKACG/PRKAR1A/PRKAR1B/PRKAR2A/PRKAR2B/PRKX/PTGER4/PTGIR/PTH/PTH1R/PTH2R/PTHLH/RAMP1/RAMP2/RAMP3/RLN2/RLN3/RXFP1/RXFP2/SCT/SCTR/TSHB/TSHR/VIP/VIPR1/VIPR2	106
A-AI-I-M	R-HSA-449147	Signaling by Interleukins	209/1478	462/10856	7.30306280248105e-65	2.06676677310214e-62	1.41295046641686e-62	AGER/ALOX15/ALOX5/ANXA1/ANXA2/APP/ATF2/BCL2/BCL2L1/BCL6/BLNK/CASP1/CCL11/CCL19/CCL2/CCL20/CCL22/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCR1/CCR2/CCR5/CD36/CDC42/CEBPD/CHUK/CTSG/CXCL1/CXCL10/CXCL2/CXCL8/EBI3/FASLG/FGF2/FOS/FPR1/FSCN1/FYN/GATA3/GSDMD/HAVCR2/HCK/HGF/HMOX1/HSP90AA1/HSPA8/IFNG/IKBKB/IKBKG/IL10/IL10RA/IL10RB/IL12A/IL12B/IL13/IL15/IL16/IL17A/IL17F/IL17RA/IL17RB/IL17RC/IL17RE/IL18/IL18R1/IL18RAP/IL19/IL1A/IL1B/IL1F10/IL1R1/IL1R2/IL1RAP/IL1RL1/IL1RL2/IL1RN/IL2/IL20/IL20RB/IL21/IL22/IL22RA1/IL22RA2/IL23A/IL23R/IL25/IL26/IL27/IL2RA/IL31RA/IL33/IL34/IL36A/IL36B/IL36G/IL36RN/IL37/IL4/IL4R/IL5/IL5RA/IL6/IL6R/IL6ST/IL7R/IRAK1/IRAK2/IRAK3/ITGAM/ITGAX/ITGB2/JAK1/JAK2/JAK3/JUN/LBP/LGALS9/LYN/MAP2K3/MAP2K4/MAP2K6/MAP2K7/MAP3K3/MAP3K7/MAP3K8/MAPK10/MAPK11/MAPK14/MAPK7/MAPK8/MAPK9/MAPKAPK2/MAPKAPK3/MEF2C/MIF/MUC1/MYC/MYD88/NFKB1/NFKB2/NFKBIA/NFKBIB/NKIRAS2/NOD1/NOD2/NOS2/OPRM1/OSM/OSMR/PDCD4/PIK3CA/PIK3CB/PIK3CD/PIK3R3/POMC/PPIA/PPP2CA/PRKACA/PRTN3/PSMA1/PSMA6/PSMA7/PSMB4/PSMB8/PTAFR/PTGS2/PTPN14/PTPN2/RIPK2/RORA/RPS6KA5/S100A12/S1PR1/SAA1/SDC1/SHC1/SIGIRR/SMAD3/SOCS1/SOCS2/SOCS3/SOCS5/SOD1/SOD2/STAT1/STAT3/STAT4/STAT5B/SYK/TBK1/TGFB1/TIMP1/TNF/TNFRSF1A/TNFRSF1B/TNIP2/TOLLIP/TP53/TSLP/TWIST1/UBE2N/UBE2V1/VCAM1/VEGFA/YES1/YWHAZ	209
A-AI-I-M	R-HSA-500792	GPCR ligand binding	205/1478	467/10856	8.11527272286811e-61	1.91385181714306e-58	1.3084097600554e-58	ACKR1/ACKR2/ACKR3/ADCYAP1/ADCYAP1R1/ADGRE2/ADGRE5/ADM/ADM2/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA2A/ADRB1/ADRB2/ADRB3/AGT/AGTR1/AGTR2/ANXA1/APLNR/APP/AVP/AVPR2/BDKRB1/BDKRB2/C3/C3AR1/C5/C5AR1/C5AR2/CALCA/CALCB/CALCR/CALCRL/CCL1/CCL11/CCL13/CCL16/CCL17/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL25/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CD55/CGA/CMKLR1/CNR1/CNR2/CRH/CRHBP/CRHR1/CRHR2/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/CYSLTR1/CYSLTR2/DRD1/DRD5/EDN2/F2/F2R/F2RL1/FFAR1/FFAR2/FFAR3/FFAR4/FPR1/FPR2/FSHB/FSHR/FZD4/FZD5/FZD8/GAL/GCG/GHRH/GHRHR/GHRL/GHSR/GIP/GIPR/GLP1R/GNAS/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPER1/GPHA2/GPHB5/GPR31/GPR39/GPR4/GPR55/HRH1/HRH4/HTR1A/HTR4/HTR6/HTR7/IAPP/INSL3/KISS1/KISS1R/KNG1/LHB/LHCGR/LPAR1/LTB4R/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/NPY/OPRM1/PF4/PNOC/POMC/PPBP/PROK2/PTAFR/PTCH1/PTCH2/PTGDR2/PTGER3/PTGER4/PTGFR/PTGIR/PTH/PTH1R/PTH2R/PTHLH/RAMP1/RAMP2/RAMP3/RLN2/RLN3/RXFP1/RXFP2/S1PR1/S1PR3/SAA1/SCT/SCTR/SUCNR1/TAC1/TACR1/TBXA2R/TSHB/TSHR/UCN/VIP/VIPR1/VIPR2/WNT7A/WNT7B/XCL1/XCL2/XCR1	205
A-AI-I-M	R-HSA-418555	G alpha (s) signalling events	101/1478	145/10856	1.3490107313556e-54	2.72692883552597e-52	1.86427197310647e-52	ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/ADCYAP1/ADCYAP1R1/ADM/ADM2/ADORA2A/ADORA2B/ADRB1/ADRB2/ADRB3/ARRB2/AVP/AVPR2/CALCA/CALCB/CALCR/CALCRL/CGA/CRH/CRHR1/CRHR2/CYSLTR2/DRD1/DRD5/FSHB/FSHR/GCG/GHRH/GHRHR/GIP/GIPR/GLP1R/GNAI1/GNAI2/GNAI3/GNAS/GNAZ/GNB1/GNB2/GNB3/GNB4/GNB5/GNG10/GNG11/GNG12/GNG13/GNG4/GNG5/GNGT1/GPBAR1/GPHA2/GPHB5/GPR20/GPR25/GPR39/GPR83/HTR4/HTR6/HTR7/IAPP/INSL3/LHB/LHCGR/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/PDE2A/PDE3B/POMC/PTGER4/PTGIR/PTH/PTH1R/PTH2R/PTHLH/RAMP1/RAMP2/RAMP3/RLN2/RLN3/RXFP1/RXFP2/SCT/SCTR/SRC/TSHB/TSHR/VIP/VIPR1/VIPR2	101
A-AI-I-M	R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	150/1478	335/10856	1.53177559630686e-45	2.70932808596775e-43	1.8522391750079e-43	ACKR1/ACKR2/ACKR3/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA2A/ADRB1/ADRB2/ADRB3/AGT/AGTR1/AGTR2/ANXA1/APLNR/APP/AVP/AVPR2/BDKRB1/BDKRB2/C3/C3AR1/C5/C5AR1/C5AR2/CCL1/CCL11/CCL13/CCL16/CCL17/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL25/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CGA/CMKLR1/CNR1/CNR2/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/CYSLTR1/CYSLTR2/DRD1/DRD5/EDN2/F2/F2R/F2RL1/FFAR1/FFAR2/FFAR3/FFAR4/FPR1/FPR2/FSHB/FSHR/GAL/GHRL/GHSR/GPBAR1/GPER1/GPHA2/GPHB5/GPR31/GPR39/GPR4/GPR55/HRH1/HRH4/HTR1A/HTR4/HTR6/HTR7/INSL3/KISS1/KISS1R/KNG1/LHB/LHCGR/LPAR1/LTB4R/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/NPY/OPRM1/PF4/PNOC/POMC/PPBP/PROK2/PTAFR/PTGDR2/PTGER3/PTGER4/PTGFR/PTGIR/RLN2/RLN3/RXFP1/RXFP2/S1PR1/S1PR3/SAA1/SUCNR1/TAC1/TACR1/TBXA2R/TSHB/TSHR/XCL1/XCL2/XCR1	150
A-AI-I-M	R-HSA-380108	Chemokine receptors bind chemokines	50/1478	59/10856	8.75065937117095e-35	1.37579811224521e-32	9.4056794878434e-33	ACKR2/ACKR3/CCL1/CCL11/CCL13/CCL16/CCL17/CCL19/CCL2/CCL20/CCL21/CCL22/CCL25/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/PF4/PPBP/XCL1/XCL2/XCR1	50
A-AI-I-M	R-HSA-375276	Peptide ligand-binding receptors	99/1478	201/10856	1.63369879498405e-34	2.31168379490244e-32	1.58038862377931e-32	ACKR1/ACKR2/ACKR3/AGT/AGTR1/AGTR2/ANXA1/APLNR/APP/AVP/AVPR2/BDKRB1/BDKRB2/C3/C3AR1/C5/C5AR1/C5AR2/CCL1/CCL11/CCL13/CCL16/CCL17/CCL19/CCL2/CCL20/CCL21/CCL22/CCL23/CCL25/CCL27/CCL3/CCL3L1/CCL4/CCL4L1/CCL5/CCL7/CCR1/CCR2/CCR3/CCR4/CCR5/CCR6/CCR7/CCR8/CCRL2/CX3CL1/CX3CR1/CXCL1/CXCL10/CXCL11/CXCL12/CXCL13/CXCL2/CXCL3/CXCL5/CXCL6/CXCL8/CXCL9/CXCR2/CXCR3/CXCR4/EDN2/F2/F2R/F2RL1/FPR1/FPR2/GAL/GHRL/GHSR/GPER1/INSL3/KISS1/KISS1R/KNG1/MC1R/MC2R/MC3R/MC4R/MC5R/NPSR1/NPY/OPRM1/PF4/PNOC/POMC/PPBP/PROK2/RLN2/RLN3/RXFP1/RXFP2/SAA1/TAC1/TACR1/XCL1/XCL2/XCR1	99
