Community	CRank	Conductance	Modularity	Random
A_ref	0.185593	0.905207	0.002125	0.000078
A-AI_ref	0.535605	0.847358	0.005465	0.315378
A-AI-I_ref	0.816368	0.660764	0.028573	0.556053
A-AI-I-IM_ref	0.649987	0.649121	0.030586	0.586501
A-AI-I-IM-M_ref	0.816368	0.648991	0.030712	0.327672
A-AI-IM_ref	0.351973	0.835569	0.006403	0.189592
A-AI-I-M_ref	1.000000	0.661906	0.028477	0.470446
A-AI-IM-M_ref	0.203429	0.827327	0.007454	0.788647
A-AIM_ref	0.117797	0.880488	0.003335	0.792964
A-AI-M_ref	0.255157	0.841294	0.006295	0.346929
A-AIM-AI_ref	0.535605	0.823591	0.007260	0.835021
A-AIM-AI-I_ref	0.816368	0.643237	0.031602	0.194164
A-AIM-AI-I-IM_ref	0.717783	0.631715	0.033697	0.309653
A-AIM-AI-I-IM-M_ref	1.000000	0.631315	0.033906	0.345721
A-AIM-AI-IM_ref	0.351973	0.812628	0.008279	0.534616
A-AIM-AI-I-M_ref	1.000000	0.644062	0.031590	0.297002
A-AIM-AI-IM-M_ref	0.203429	0.805896	0.009414	0.711494
A-AIM-AI-M_ref	0.255157	0.819159	0.008173	0.076982
A-AIM-AM_ref	0.066069	0.868045	0.004062	0.834157
A-AIM-AM-AI_ref	0.535605	0.812775	0.008202	0.668422
A-AIM-AM-AI-I_ref	0.717783	0.635839	0.032959	0.174860
A-AIM-AM-AI-I-IM_ref	0.649987	0.624451	0.035073	0.867727
A-AIM-AM-AI-I-IM-M_ref	1.000000	0.623572	0.035337	0.889766
A-AIM-AM-AI-IM_ref	0.489333	0.802356	0.009240	0.304365
A-AIM-AM-AI-I-M_ref	1.000000	0.636156	0.033002	0.461669
A-AIM-AM-AI-IM-M_ref	0.322952	0.795667	0.010430	0.269288
A-AIM-AM-AI-M_ref	0.322952	0.808414	0.009170	0.919649
A-AIM-AM-I_ref	0.466355	0.702818	0.022077	0.539190
A-AIM-AM-I-IM_ref	0.466355	0.691483	0.023794	0.159994
A-AIM-AM-I-IM-M_ref	0.717783	0.686453	0.024186	0.011906
A-AIM-AM-IM_ref	0.066069	0.859416	0.004704	0.103208
A-AIM-AM-I-M_ref	0.717783	0.698995	0.022247	0.621980
A-AIM-AM-IM-M_ref	0.133864	0.844804	0.006021	0.624530
A-AIM-AM-M_ref	0.066069	0.856360	0.005158	0.474645
A-AIM-I_ref	0.632736	0.710591	0.020935	0.360819
A-AIM-I-IM_ref	0.717783	0.699088	0.022634	0.282342
A-AIM-I-IM-M_ref	1.000000	0.694442	0.022970	0.326386
A-AIM-IM_ref	0.066069	0.871056	0.003958	0.564105
A-AIM-I-M_ref	1.000000	0.707173	0.021050	0.910374
A-AIM-IM-M_ref	0.066069	0.855468	0.005220	0.653387
A-AIM-M_ref	0.014341	0.867660	0.004376	0.470389
A-AM_ref	0.066069	0.894112	0.002657	0.825503
A-AM-AI_ref	0.535605	0.837714	0.006213	0.226604
A-AM-AI-I_ref	0.717783	0.654167	0.029736	0.533558
A-AM-AI-I-IM_ref	0.598259	0.642640	0.031767	0.515186
A-AM-AI-I-IM-M_ref	1.000000	0.641906	0.031948	0.726859
A-AM-AI-IM_ref	0.351973	0.826486	0.007169	0.316347
A-AM-AI-I-M_ref	0.717783	0.654669	0.029695	0.847071
A-AM-AI-IM-M_ref	0.203429	0.818061	0.008275	0.727100
A-AM-AI-M_ref	0.322952	0.831492	0.007098	0.364114
A-AM-I_ref	0.466355	0.721157	0.019438	0.664948
A-AM-I-IM_ref	0.414627	0.709665	0.021074	0.777318
A-AM-I-IM-M_ref	0.598259	0.704602	0.021381	0.377744
A-AM-IM_ref	0.117797	0.884476	0.003217	0.749068
A-AM-I-M_ref	0.649987	0.717336	0.019525	0.592650
A-AM-IM-M_ref	0.232450	0.866390	0.004451	0.665072
A-AM-M_ref	0.133864	0.878632	0.003669	0.865174
AI_ref	0.467810	0.902486	0.001606	0.976563
A-I_ref	0.632736	0.728027	0.018490	0.092081
AI-I_ref	0.316042	0.698802	0.021695	0.605643
AI-I-IM_ref	0.316042	0.689330	0.023220	0.046531
AI-I-IM-M_ref	0.466355	0.695289	0.023198	0.045229
A-I-IM_ref	0.534150	0.716391	0.020107	0.162920
AI-IM_ref	0.284178	0.896790	0.002056	0.190329
AI-I-M_ref	0.466355	0.706970	0.021452	0.866421
A-I-IM-M_ref	0.816368	0.711854	0.020360	0.939767
AI-IM-M_ref	0.117797	0.890877	0.002960	0.661445
AIM_ref	0.416082	0.981910	0.000081	0.907329
A-IM_ref	0.066069	0.894697	0.002666	0.477642
A-I-M_ref	1.000000	0.724766	0.018522	0.737491
AI-M_ref	0.185593	0.904060	0.002289	0.007071
AIM-AI_ref	0.467810	0.892743	0.002271	0.841421
AIM-AI-I_ref	0.316042	0.687339	0.023594	0.770818
AIM-AI-I-IM_ref	0.316042	0.677617	0.025201	0.138174
AIM-AI-I-IM-M_ref	0.466355	0.682080	0.025263	0.297474
AIM-AI-IM_ref	0.284178	0.884935	0.002803	0.644458
AIM-AI-I-M_ref	0.466355	0.693794	0.023435	0.409800
AIM-AI-IM-M_ref	0.185593	0.876704	0.003790	0.500840
AIM-AI-M_ref	0.185593	0.889642	0.003037	0.615143
AIM-AM_ref	0.535605	0.965240	0.000279	0.702045
AIM-AM-AI_ref	0.535605	0.886451	0.002684	0.278173
AIM-AM-AI-I_ref	0.316042	0.682895	0.024422	0.253654
AIM-AM-AI-I-IM_ref	0.414627	0.673157	0.026048	0.158677
AIM-AM-AI-I-IM-M_ref	0.466355	0.676487	0.026165	0.884553
AIM-AM-AI-IM_ref	0.535605	0.878645	0.003235	0.682471
AIM-AM-AI-I-M_ref	0.414627	0.688114	0.024318	0.295434
AIM-AM-AI-IM-M_ref	0.351973	0.869107	0.004277	0.362245
AIM-AM-AI-M_ref	0.284178	0.881501	0.003505	0.254120
AIM-AM-I_ref	0.271224	0.751342	0.015274	0.994579
AIM-AM-I-IM_ref	0.466355	0.741893	0.016504	0.885722
AIM-AM-I-IM-M_ref	0.632736	0.740342	0.016748	0.331949
AIM-AM-IM_ref	0.634191	0.958115	0.000433	0.063218
AIM-AM-I-M_ref	0.534150	0.751808	0.015297	0.510152
AIM-AM-IM-M_ref	0.351973	0.919854	0.001602	0.132737
AIM-AM-M_ref	0.185593	0.929919	0.001227	0.911136
AIM-I_ref	0.322952	0.755767	0.014661	0.459816
AIM-I-IM_ref	0.466355	0.746351	0.015872	0.120808
AIM-I-IM-M_ref	0.816368	0.745946	0.016061	0.415106
AIM-IM_ref	0.133864	0.970580	0.000216	0.693173
AIM-I-M_ref	0.632736	0.757508	0.014629	0.153946
AIM-IM-M_ref	0.284178	0.927029	0.001330	0.373040
A-IM-M_ref	0.133864	0.875784	0.003844	0.679174
AIM-M_ref	0.133864	0.937588	0.000974	0.872124
AM_ref	0.450558	0.994628	0.000004	0.783277
A-M_ref	0.014341	0.888671	0.003081	0.537200
AM-AI_ref	0.535605	0.902950	0.001825	0.716548
AM-AI-I_ref	0.316042	0.695809	0.022328	0.024057
AM-AI-I-IM_ref	0.414627	0.686243	0.023872	0.330538
AM-AI-I-IM-M_ref	0.414627	0.690755	0.023906	0.344498
AM-AI-IM_ref	0.535605	0.895670	0.002293	0.984801
AM-AI-I-M_ref	0.414627	0.702388	0.022141	0.553608
AM-AI-IM-M_ref	0.253388	0.885862	0.003252	0.482927
AM-AI-M_ref	0.284178	0.898703	0.002562	0.545838
AM-I_ref	0.271224	0.763279	0.013765	0.907375
AM-I-IM_ref	0.322952	0.754112	0.014913	0.248493
AM-I-IM-M_ref	0.632736	0.753788	0.015073	0.420396
AM-IM_ref	0.634191	0.982267	0.000076	0.597675
AM-I-M_ref	0.534150	0.765211	0.013704	0.127515
AM-IM-M_ref	0.185593	0.931832	0.001162	0.147100
AM-M_ref	0.066069	0.940989	0.000868	0.304273
I_ref	0.367770	0.765898	0.013346	0.909903
I-IM_ref	0.390748	0.756882	0.014475	0.745881
I-IM-M_ref	0.632736	0.758129	0.014580	0.029996
IM_ref	0.634191	0.985105	0.000053	0.142933
I-M_ref	0.632736	0.769591	0.013230	0.268763
IM-M_ref	0.185593	0.933737	0.001084	0.098196
M_ref	0.133864	0.942039	0.000809	0.378973
0_random	0.232450	0.923014	0.001481	0.399108
1_random	0.014341	0.897790	0.002564	0.808959
2_random	1.000000	0.669163	0.027323	0.175395
3_random	0.717783	0.654942	0.029722	0.869907
4_random	1.000000	0.627830	0.034552	0.520587
5_random	0.133864	0.884672	0.003261	0.503351
6_random	1.000000	0.638510	0.032586	0.813462
7_random	0.014341	0.839779	0.006418	0.858147
8_random	0.133864	0.919877	0.001582	0.877253
9_random	0.066069	0.867827	0.004320	0.997410
10_random	0.133864	0.865289	0.004535	0.475330
11_random	0.649987	0.668778	0.027389	0.871866
12_random	0.816368	0.652294	0.030205	0.455757
13_random	1.000000	0.627582	0.034589	0.901086
14_random	0.232450	0.872110	0.004088	0.554088
15_random	0.816368	0.631198	0.033945	0.561461
16_random	0.151701	0.842464	0.006204	0.481516
17_random	0.014341	0.864975	0.004540	0.833051
18_random	0.133864	0.916008	0.001760	0.087667
19_random	0.185593	0.882917	0.003405	0.418198
20_random	0.717783	0.663174	0.028346	0.648987
21_random	0.649987	0.669490	0.027188	0.521264
22_random	1.000000	0.623572	0.035337	0.885145
23_random	0.185593	0.881654	0.003478	0.640305
24_random	0.816368	0.631468	0.033839	0.610951
25_random	0.605170	0.850329	0.005567	0.260308
26_random	0.421538	0.849482	0.005658	0.997572
27_random	0.816368	0.692601	0.023593	0.192497
28_random	1.000000	0.689903	0.023968	0.292692
29_random	0.598259	0.658265	0.029122	0.267122
30_random	0.066069	0.909167	0.002060	0.512537
31_random	0.816368	0.660595	0.028746	0.216340
32_random	0.467810	0.865808	0.004481	0.030730
33_random	0.014341	0.891978	0.002865	0.478418
34_random	0.414627	0.701217	0.022271	0.764318
35_random	0.534150	0.683427	0.024962	0.893142
36_random	0.816368	0.658566	0.029079	0.032503
37_random	0.416082	0.899693	0.002508	0.283752
38_random	0.649987	0.676921	0.025913	0.016735
39_random	0.351973	0.876573	0.003800	0.264974
40_random	0.185593	0.871672	0.004114	0.420210
41_random	0.133864	0.909655	0.002033	0.474868
42_random	0.232450	0.891592	0.002915	0.103130
43_random	0.649987	0.652405	0.030197	0.311885
44_random	0.816368	0.659859	0.028883	0.856484
45_random	1.000000	0.626333	0.034820	0.921736
46_random	0.284178	0.872887	0.004034	0.621986
47_random	1.000000	0.639702	0.032340	0.710636
48_random	0.605170	0.850321	0.005585	0.653390
49_random	0.185593	0.842331	0.006213	0.530574
50_random	0.466355	0.694109	0.023364	0.351094
51_random	0.534150	0.677706	0.025917	0.831532
52_random	0.717783	0.658314	0.029128	0.553073
53_random	0.014341	0.917517	0.001678	0.495241
54_random	0.717783	0.657698	0.029241	0.523002
55_random	0.014341	0.874140	0.003952	0.089446
56_random	0.014341	0.880472	0.003568	0.316744
57_random	0.416082	0.971559	0.000202	0.516461
58_random	0.816368	0.697646	0.022797	0.152484
59_random	0.435565	0.741997	0.016635	0.795924
60_random	0.367770	0.732579	0.017860	0.089219
61_random	0.367770	0.715757	0.020094	0.501256
62_random	0.466355	0.693757	0.023426	0.608598
63_random	0.133864	0.956744	0.000468	0.712623
64_random	0.632736	0.722776	0.019195	0.059559
65_random	0.717783	0.664866	0.027981	0.003937
66_random	0.232450	0.928484	0.001263	0.175615
67_random	0.416082	0.994723	0.000006	0.558435
68_random	0.066069	0.913881	0.001838	0.622450
69_random	0.598259	0.671993	0.026826	0.513675
70_random	0.133864	0.933637	0.001099	0.327387
71_random	0.232450	0.975664	0.000131	0.393303
